13.36.28.986162,12226,12808,18695,10641,19780,13261,11736,24037,5924,12518,13882,24167
13.36.29.022706,15331,10771,8161,12204,19808,12853,24019,15796,7439,13137,13971,12361
13.36.29.059043,15951,10249,7950,12522,19800,17381,21139,205,15544,12893,21498,254
13.36.29.095136,8142,13332,13675,12233,19771,13736,147,8867,13359,13088,19859,4443
13.36.29.132405,10987,12989,14122,12477,19751,7659,10635,12113,17488,11396,207,24171
13.36.29.169531,12142,12792,18608,10671,19735,13280,11040,24034,6290,13064,14334,17961
13.36.29.208662,16716,10083,7995,12501,19796,16710,4621,796,14422,12709,24174,245
13.36.29.246189,5786,13854,14104,12260,19724,11938,150,13276,12552,12802,12650,24181
13.36.29.283027,11675,12742,18824,11560,19741,11048,11207,11743,14051,11069,2743,24170
13.36.29.321271,12011,12127,13376,11169,19749,13125,19369,23839,5435,13111,14038,15985
13.36.29.358718,16786,10131,7453,12588,19788,17734,18863,206,15310,12842,23700,247
13.36.29.396285,5593,13873,14056,12439,19697,7537,1171,14042,12954,12319,285,24168
13.36.29.435214,12383,12554,21179,10987,19727,13258,11067,24073,8075,11559,13668,24170
13.36.29.472907,16591,10211,4358,12686,19772,14155,24025,184,14456,12926,14177,259
13.36.29.511636,8755,13566,13922,12143,19713,12993,148,10531,13144,13057,15921,17143
13.36.29.549050,10917,13102,13599,12708,19724,8598,11063,11852,16888,11303,209,24176
13.36.29.586144,12322,12731,20272,10951,19714,13081,11523,24075,8278,11979,13476,24164
13.36.29.623386,17477,10099,3435,12713,19766,16550,24026,254,15081,12826,16556,258
13.36.29.661590,7902,13789,14140,12484,19673,9265,516,13902,12623,12251,5934,24183
13.36.29.699941,11902,12727,18292,11836,19727,12121,12386,17841,14707,11108,2049,24177
13.36.29.737887,11915,12468,12892,11246,19757,12804,21231,23186,5603,13004,13969,11568
13.36.29.775397,17033,10071,7187,12655,19763,16905,23262,204,15217,12933,16394,253
13.36.29.811709,8541,13367,13902,12247,19686,11350,147,12271,12756,13135,15298,18522
13.36.29.849876,11815,12761,19238,11326,19707,12558,12451,21125,11627,11321,8563,24174
13.36.29.887819,11966,12280,13970,11030,19733,12879,23658,20690,5971,13099,14433,24171
13.36.29.924792,18468,9949,4834,12594,19745,16999,23189,198,15088,12878,21849,257
13.36.29.962260,6554,13870,13996,12392,19656,9073,444,13982,13217,12045,1183,24189
13.36.30.000989,12233,12487,20791,11643,19697,11308,11693,12572,15084,11076,2132,24171
13.36.30.038316,12054,11413,11052,11541,19721,12959,22474,22583,6297,13032,14436,20660
13.36.30.075449,17703,9987,6035,12528,19736,17427,14796,211,14899,12824,24172,244
13.36.30.113610,4308,13886,13994,12922,19634,9697,162,12962,12539,12883,20859,236
13.36.30.148203,7375,13485,13481,13043,19645,12673,12603,11635,16033,11491,212,24180
13.36.30.187219,11918,12552,15791,11335,19684,12863,22729,23720,5897,12826,14511,23366
13.36.30.224879,20244,9945,3556,12665,19724,15105,23979,229,13329,13097,13574,270
13.36.30.261418,9418,12714,13318,12271,19683,15012,146,209,13574,13029,24020,240
13.36.30.298807,9499,12821,19262,11561,19647,13068,11314,23931,9508,10689,7125,24174
13.36.30.337930,11928,11691,11939,10952,19656,13275,15909,23714,6351,12315,14435,24169
13.36.30.374591,20580,9935,3484,12757,19715,15795,23986,218,14997,13085,19514,265
13.36.30.411944,6933,10811,13818,12296,19679,14606,150,4672,13578,13394,20246,10939
13.36.30.448723,9432,13712,13712,13036,19626,7568,7988,12291,16743,12042,206,24174
13.36.30.486478,12224,12911,16094,10586,19653,13279,22193,23946,6247,12968,13894,12493
13.36.30.525343,18378,10076,7202,12113,19719,15521,24031,213,14583,12991,13863,264
13.36.30.561004,11245,12226,13206,11966,19678,14228,145,5208,13765,12987,24175,238
13.36.30.598198,7712,13451,13436,12989,19616,7279,8193,12685,15782,11874,214,24183
13.36.30.634755,12470,12479,21045,10893,19638,13112,11617,23263,11314,10538,4488,24166
13.36.30.671564,12068,11952,13222,10629,19680,13082,20834,23974,6008,12835,14532,24180
13.36.30.707908,19360,9866,5020,12736,19690,16997,23870,212,14880,12710,23603,256
13.36.30.746125,4731,13954,13875,12537,19591,8181,152,13884,12602,12995,3171,24179
13.36.30.784395,11476,12566,20680,11539,19644,12022,12950,17239,13199,10660,4097,24170
13.36.30.821798,12633,12693,10322,11055,19673,12832,23983,23113,6512,12729,14161,16943
13.36.30.859477,16639,10370,11243,12269,19683,17423,9826,236,14187,12737,24187,253
13.36.30.897066,3388,13754,14067,12611,19530,9996,172,13238,12620,14101,10749,24193
13.36.30.933877,12056,12617,23801,11268,19543,12994,11658,17619,12083,10499,9101,24171
13.36.30.972540,14991,10981,5850,12480,19625,13162,23761,14616,12406,13027,11969,271
13.36.31.010020,15395,10611,9119,12422,19644,18595,11054,246,14391,12569,24169,259
13.36.31.046878,2278,13873,14153,12895,19506,6389,182,2923,13001,13775,2143,24184
13.36.31.086851,12285,9502,18406,10592,19539,13449,9519,23686,9156,9998,8852,24172
13.36.31.123014,17927,10594,2470,12373,19609,12967,23812,12493,10282,12709,12629,272
13.36.31.160887,12229,12351,12241,12266,19636,15723,162,203,13627,12948,22604,24188
13.36.31.199144,10290,12987,14542,12902,19568,9852,11357,11401,15576,11156,214,19044
13.36.31.236840,12256,12953,17571,10689,19557,13217,10047,23821,8013,11524,13487,20611
13.36.31.273950,19268,10157,2329,12647,19662,14018,23936,2115,12169,13080,13076,262
13.36.31.310715,12714,13741,13986,12467,19545,10349,165,12743,12498,13593,17134,14009
13.36.31.349012,10122,13028,13945,13099,19544,6871,6622,12563,16667,11642,227,24181
13.36.31.386972,12126,12894,15519,10765,19593,13314,11383,23876,6444,12628,14503,22283
13.36.31.425096,18680,9916,3860,12828,19636,15257,23954,202,13248,13159,12462,258
13.36.31.461231,10664,12078,13674,12262,19571,10336,152,13560,12516,13563,11922,22871
13.36.31.500299,12083,12741,20362,11547,19574,11881,10667,11742,14556,10998,210,24172
13.36.31.537346,11535,12465,15134,10398,19547,13261,18066,23703,6035,12403,15340,23102
13.36.31.574931,19666,9144,2368,12913,19637,13829,23852,4707,12298,13007,11817,270
13.36.31.610825,12600,11040,11422,12347,19602,15690,165,231,14096,12874,24180,253
13.36.31.648090,5740,13675,13665,13054,19496,7815,161,17927,12256,13999,12897,24193
13.36.31.683992,12318,12867,18339,12258,19498,8928,8447,198,16901,11963,237,24187
13.36.31.718775,12812,12642,21375,10375,19521,13318,12127,23732,6308,11346,12519,24170
13.36.31.756706,18483,10581,3417,12604,19597,12657,23872,23673,10104,12848,13249,2296
13.36.31.793004,16794,9829,6798,12607,19595,17639,21152,253,14725,12774,24171,269
13.36.31.829658,3299,13939,14072,12196,19490,10447,175,219,12650,13798,23726,17463
13.36.31.866285,11050,13128,15065,12782,19484,8747,7004,186,16954,12160,237,24188
13.36.31.902184,12614,12767,23790,10675,19514,13276,10695,23768,8850,10926,11859,24176
13.36.31.940345,19613,10009,2173,12713,19614,12703,23867,23627,10719,13194,13342,283
13.36.31.977830,11316,12212,12589,12311,19598,15951,3060,258,14580,12634,24166,259
13.36.32.013716,2375,14122,14126,12872,19478,8170,164,21541,12975,13755,18315,24169
13.36.32.050499,12202,12918,16870,12051,19511,9408,9974,183,16489,11668,251,24196
13.36.32.085912,12679,12760,23433,10413,19518,13331,9346,23821,8132,10865,8218,24169
13.36.32.123562,19415,10506,2236,12689,19621,15086,23810,23773,14661,13067,16373,274
13.36.32.162054,6633,12615,13581,12148,19512,13744,187,1281,13507,12920,24179,255
13.36.32.197772,3196,13897,13574,13316,19498,8823,6444,187,16377,12275,241,24188
13.36.32.236960,12100,13408,22084,10262,19510,13406,11561,23578,5930,12015,15436,24181
13.36.32.275226,20911,9280,3318,12549,19589,17533,23829,245,14838,12648,23296,283
13.36.32.312907,3316,13867,14138,12166,19512,12953,178,213,12794,13978,24186,279
13.36.32.349331,9766,13913,13775,12827,19494,10583,9961,202,16672,11530,236,24187
13.36.32.387658,12004,13598,16834,10516,19544,13269,22505,23342,5474,12528,15403,24181
13.36.32.425343,20626,9347,2256,12677,19592,17547,23872,239,14939,13070,18098,283
13.36.32.462137,6744,13438,14066,12283,19504,13206,163,203,13217,13816,24189,318
13.36.32.498819,8016,13622,13507,13166,19478,7259,400,12834,12600,13782,12641,24194
13.36.32.533674,11844,13090,19561,12158,19509,9825,11743,1868,16298,11956,245,24183
13.36.32.570576,12174,13416,19941,10346,19531,13347,10234,23693,7486,11106,13636,24171
13.36.32.607846,21400,9590,2564,12680,19612,15205,23856,236,14617,12947,23568,269
13.36.32.645266,7659,12348,12738,12304,19539,12784,176,2487,12769,14096,19193,24191
13.36.32.683906,11975,12948,17776,11946,19503,11930,12114,7412,15557,11183,241,24185
13.36.32.721339,11823,13537,17557,10663,19545,13131,21292,23621,5920,12372,15417,24179
13.36.32.758081,21493,9493,2194,12696,19616,17122,23719,251,14777,13149,14516,283
13.36.32.795271,7891,13319,13918,12235,19496,12745,186,204,12929,13773,24186,258
13.36.32.831783,7384,13462,13392,13291,19487,6191,5052,193,16745,12047,240,24180
13.36.32.870233,12161,13650,21431,10502,19536,13364,12035,23622,7038,11740,14618,24174
13.36.32.908514,20811,9750,2218,12560,19613,18510,23755,244,14440,12712,22118,274
13.36.32.945282,7974,12355,12825,12226,19541,13921,183,2402,12923,13591,23778,8967
13.36.32.982404,9032,13291,13439,13130,19485,6063,4055,2020,16310,12253,226,24187
13.36.33.019935,12438,13266,21441,10556,19531,13310,20658,23639,7448,11944,14053,24168
13.36.33.057401,19697,10615,2211,12593,19591,12705,23779,23518,9224,12921,13003,264
13.36.33.094217,13092,11091,11194,12342,19613,17391,1144,225,13589,12629,24056,243
13.36.33.131929,7414,13125,13476,13114,19494,5560,282,9147,14374,12735,1104,24196
13.36.33.169515,12550,12671,23748,11000,19512,13203,10611,23844,11434,10977,11335,24171
13.36.33.205853,13309,12364,7549,11787,19567,12907,23933,23606,7803,12643,13578,9862
13.36.33.243225,16102,10128,4770,12460,19603,18085,4855,239,13675,12577,23024,260
13.36.33.280433,4477,13392,13976,12387,19488,11615,187,11320,12242,13366,10434,24188
13.36.33.316671,11441,12857,13976,12873,19498,3758,1308,1021,15060,12389,3541,24189
13.36.33.351619,12523,12445,20604,11047,19518,13469,9262,23716,10140,11193,13499,24170
13.36.33.390961,19373,10516,4979,12564,19611,17264,23717,2987,12862,13015,12919,269
13.36.33.428347,10126,12402,13311,12192,19593,17896,182,473,12877,13199,17090,4932
13.36.33.465887,9529,13142,13583,12511,19498,4583,8137,797,15595,11936,2828,24181
13.36.33.503213,12358,12672,19139,10992,19515,12909,12050,23751,12183,10983,11562,24168
13.36.33.538735,12253,12719,12725,11144,19543,13680,19600,23629,7652,12405,13596,24090
13.36.33.575736,18275,9994,10443,12484,19609,23025,21060,235,13625,12598,20221,258
13.36.33.613996,4486,13442,13562,12457,19496,7622,165,12158,12357,13495,12455,20440
13.36.33.650114,11392,12727,15478,12354,19497,2729,4862,4007,15780,12168,3103,24181
13.36.33.686958,12252,13275,15814,10759,19540,13623,13037,23678,8137,11991,13502,24170
13.36.33.724483,19188,10650,6107,12518,19602,13248,23796,11773,9822,12655,13104,16212
13.36.33.759655,16794,10016,7773,12526,19618,22198,17935,238,13917,12734,19555,263
13.36.33.796182,6197,12923,13357,12206,19513,13393,178,1562,13124,12889,18647,243
13.36.33.831753,6903,13221,13349,13030,19478,1831,556,9020,14741,12635,6090,24186
13.36.33.867826,12220,12658,16586,12136,19520,8444,10927,2810,14787,11700,3925,24178
13.36.33.903415,12380,13189,16480,10744,19522,13634,9017,23753,9890,11460,13408,24178
13.36.33.941137,19236,10346,5222,12548,19596,18185,23720,239,13443,12942,12915,274
13.36.33.978982,7748,12743,13418,12241,19560,15440,178,3174,12805,13200,15113,16744
13.36.34.016701,11114,12994,13841,12467,19493,7804,10635,3493,15455,11897,1614,24184
13.36.34.054855,11858,13250,15175,10699,19538,13833,10688,23667,8629,11693,13765,24171
13.36.34.090556,18427,10731,4580,12601,19602,13810,23746,7077,11082,12769,12775,270
13.36.34.128084,11782,11644,12777,12327,19581,16677,164,215,13417,12865,19881,6129
13.36.34.165781,8916,13287,13316,13197,19473,5087,149,11625,12381,13341,6810,24185
13.36.34.201685,12408,12545,23905,11249,19513,12065,12401,20223,13171,11135,234,24178
13.36.34.238147,11909,13110,12932,11195,19552,12919,23942,23642,6455,12809,14128,10955
13.36.34.276312,17846,9499,5052,12486,19593,18506,21472,240,14343,12747,24164,268
13.36.34.313906,3029,14099,13878,13169,19448,7037,160,14533,12850,13419,793,24190
13.36.34.351454,12342,12712,23891,11273,19493,13017,11390,23932,10737,10506,8928,24176
13.36.34.390197,18318,10184,2191,12681,19599,12897,23856,6821,10868,13053,12966,276
13.36.34.427981,12208,10934,12312,12360,19599,16210,1028,213,14093,12739,24175,247
